Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Call Type	Energy Diff	Energy Par	Energy Diff (wl)	Energy Par (wl)	AHR	Exception
102	Spectrogram 1	3	341.937	343.260	4652.0	10467.0	10351.6	Phee						
103	Spectrogram 1	3	343.492	344.298	3023.8	11630.0	8984.4	Phee						
116	Spectrogram 1	1	528.338	529.548	3023.8	10467.0	8886.7	Phee						
117	Spectrogram 1	1	529.684	529.751	3954.2	12560.4	9668.0	Phee						
118	Spectrogram 1	3	532.444	533.003	5815.0	11164.8	9375.0	Phee						
119	Spectrogram 1	1	627.923	628.432	4419.4	10699.6	8203.1	Phee						
120	Spectrogram 1	1	628.507	629.245	2093.4	11164.8	8691.4	Phee						
121	Spectrogram 1	3	635.347	636.424	3489.0	10932.2	9082.0	Phee						
122	Spectrogram 1	2	637.453	638.475	5815.0	11862.6	9082.0	Phee						
123	Spectrogram 1	2	638.638	639.194	3489.0	11164.8	9082.0	Phee						
124	Spectrogram 1	2	639.394	639.518	3256.4	10699.6	7714.8	Phee						
126	Spectrogram 1	1	649.994	650.585	4652.0	11862.6	9277.3	Phee						
127	Spectrogram 1	1	787.448	788.555	3256.4	10932.2	8984.4	Phee						
4	Spectrogram 1	1	1824.120	1824.603	4941.9	11627.9	8496.1	Phee						
5	Spectrogram 1	1	1824.638	1824.693	2907.0	11337.2	9375.0	Phee						
1	Spectrogram 1	1	3210.753	3210.824	5814.0	12500.0	8691.4	Phee						
6	Spectrogram 1	1	3211.071	3212.337	1162.8	11627.9	8300.8	Phee						
2	Spectrogram 1	1	3212.390	3212.704	1453.5	10465.1	8300.8	Phee						
3	Spectrogram 1	1	3212.944	3213.824	4941.9	11337.2	8007.8	Phee						
7	Spectrogram 1	1	3213.975	3214.589	3488.4	9883.7	8105.5	Phee						
159	Spectrogram 1	3	3297.173	3297.604	3489.0	10234.4	8203.1	Phee						
160	Spectrogram 1	3	3542.557	3543.762	2791.2	10234.4	8691.4	Phee						
161	Spectrogram 1	3	3543.938	3544.467	7210.6	10932.2	9082.0	Phee						
175	Spectrogram 1	1	4819.562	4820.084	5349.8	10467.0	9179.7	Phee						
176	Spectrogram 1	1	4820.257	4820.466	4419.4	10234.4	8105.5	Phee						
180	Spectrogram 1	1	5360.198	5360.410	6512.8	11164.8	8496.1	Phee						
181	Spectrogram 1	1	5360.482	5361.128	5582.4	11164.8	8789.1	Phee						
182	Spectrogram 1	1	5361.295	5361.406	3954.2	10234.4	8007.8	Phee						
183	Spectrogram 1	1	5361.468	5361.527	3721.6	12793.1	8496.1	Phee						
184	Spectrogram 1	1	5361.595	5361.759	4419.4	12327.8	8886.7	Phee						
185	Spectrogram 1	1	5361.824	5361.948	4884.6	12095.2	9277.3	Phee						
