Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Call Type	Energy Diff	Energy Par	Energy Diff (wl)	Energy Par (wl)	AHR	Exception
1	Spectrogram 1	1	22.660000	22.750000	4000.000000	18000.000000	8000.000000	Trill	7.532962	11.413082	NaN	NaN	53.549762	0.000000
2	Spectrogram 1	1	33.700000	34.070000	4000.000000	18000.000000	8000.000000	Trill	10.556158	14.981133	NaN	NaN	66.599195	0.000000
3	Spectrogram 1	1	37.360000	37.390000	4000.000000	18000.000000	8000.000000	Trill	8.278919	10.709091	NaN	NaN	43.935887	0.000000
4	Spectrogram 1	1	58.720000	59.070000	4000.000000	18000.000000	8000.000000	Trillphee	11.692799	22.118850	NaN	NaN	121.069938	0.000000
5	Spectrogram 1	1	60.010000	60.280000	4000.000000	18000.000000	8000.000000	Phee	10.202520	19.272416	NaN	NaN	98.858288	0.000000
6	Spectrogram 1	1	62.940000	63.300000	4000.000000	18000.000000	8000.000000	Trill	8.902114	11.643410	NaN	NaN	58.187462	0.000000
7	Spectrogram 1	1	96.240000	96.470000	4000.000000	18000.000000	8000.000000	Trill	8.603730	14.693879	NaN	NaN	64.516806	0.000000
8	Spectrogram 1	1	96.550000	96.730000	4000.000000	18000.000000	8000.000000	Trill	7.141341	11.078279	NaN	NaN	52.893810	0.000000
9	Spectrogram 1	1	113.590000	113.830000	4000.000000	18000.000000	8000.000000	Trill	7.281782	10.563268	NaN	NaN	45.052191	0.000000
10	Spectrogram 1	1	120.820000	121.120000	4000.000000	18000.000000	8000.000000	Trill	8.261727	14.606747	NaN	NaN	66.114701	0.000000
11	Spectrogram 1	1	121.180000	121.240000	4000.000000	18000.000000	8000.000000	Trill	8.913264	13.618108	NaN	NaN	66.072613	0.000000
12	Spectrogram 1	1	128.860000	128.890000	4000.000000	18000.000000	8000.000000	Twitter	13.696164	21.284589	NaN	NaN	81.231610	0.000000
13	Spectrogram 1	1	137.340000	137.570000	4000.000000	18000.000000	8000.000000	Trill	10.978805	14.295792	NaN	NaN	61.572913	0.000000
14	Spectrogram 1	1	173.730000	174.110000	4000.000000	18000.000000	8000.000000	Trill	7.852115	12.404691	NaN	NaN	57.467327	0.000000
15	Spectrogram 1	1	196.900000	197.180000	4000.000000	18000.000000	8000.000000	Trill	8.264351	11.514388	NaN	NaN	51.666787	0.000000
16	Spectrogram 1	1	217.390000	217.520000	4000.000000	18000.000000	8000.000000	Trill	11.522522	13.351949	NaN	NaN	62.948304	0.000000
17	Spectrogram 1	1	252.600000	252.660000	4000.000000	18000.000000	8000.000000	Trillphee	7.374520	12.799050	NaN	NaN	55.395252	0.000000
18	Spectrogram 1	1	269.480000	269.870000	4000.000000	18000.000000	8000.000000	Trill	10.150596	17.945421	NaN	NaN	74.731712	0.000000
19	Spectrogram 1	1	269.950000	270.020000	4000.000000	18000.000000	8000.000000	Trillphee	10.007171	17.684731	NaN	NaN	81.968029	0.000000
20	Spectrogram 1	1	270.110000	270.470000	4000.000000	18000.000000	8000.000000	P-peep	7.252752	14.225743	NaN	NaN	74.098097	0.000000
21	Spectrogram 1	1	270.580000	270.630000	4000.000000	18000.000000	8000.000000	P-peep	9.932604	16.281304	NaN	NaN	82.811782	0.000000
22	Spectrogram 1	1	278.020000	278.290000	4000.000000	18000.000000	8000.000000	Trill	10.292675	15.086631	NaN	NaN	71.288482	0.000000
23	Spectrogram 1	1	296.700000	296.740000	4000.000000	18000.000000	8000.000000	Tse	12.086012	13.258809	NaN	NaN	42.018745	0.000000
24	Spectrogram 1	1	299.650000	299.840000	4000.000000	18000.000000	8000.000000	Trill	9.464203	16.808555	NaN	NaN	65.665056	0.000000
25	Spectrogram 1	1	301.610000	301.700000	4000.000000	18000.000000	8000.000000	Trill	12.423808	18.559843	NaN	NaN	80.165430	0.000000
26	Spectrogram 1	1	308.130000	308.460000	4000.000000	18000.000000	8000.000000	Trill	13.944688	20.998995	NaN	NaN	88.718196	0.000000
27	Spectrogram 1	1	316.180000	316.240000	4000.000000	18000.000000	8000.000000	Tse	8.398608	14.383663	NaN	NaN	61.411270	0.000000
28	Spectrogram 1	1	350.450000	350.530000	4000.000000	18000.000000	8000.000000	Trillphee	8.577354	14.370137	NaN	NaN	63.471425	0.000000
29	Spectrogram 1	1	364.050000	364.090000	4000.000000	18000.000000	8000.000000	Twitter	12.450469	25.338524	NaN	NaN	82.753815	0.000000
30	Spectrogram 1	1	364.160000	364.950000	4000.000000	18000.000000	8000.000000	Twitter	7.569252	15.642086	NaN	NaN	44.062749	0.000000
31	Spectrogram 1	1	368.890000	369.040000	4000.000000	18000.000000	8000.000000	Trill	8.923419	11.839109	NaN	NaN	50.879552	0.000000
32	Spectrogram 1	1	378.250000	378.450000	4000.000000	18000.000000	8000.000000	Trill	10.110524	14.807492	NaN	NaN	62.397748	0.000000
33	Spectrogram 1	1	379.800000	379.950000	4000.000000	18000.000000	8000.000000	Trillphee	12.423721	16.532855	NaN	NaN	76.125155	0.000000
34	Spectrogram 1	1	382.060000	382.600000	4000.000000	18000.000000	8000.000000	Trill	11.205373	16.853499	NaN	NaN	76.836766	0.000000
35	Spectrogram 1	1	384.040000	384.220000	4000.000000	18000.000000	8000.000000	Trill	12.661817	15.946400	NaN	NaN	75.984417	0.000000
36	Spectrogram 1	1	385.140000	385.620000	4000.000000	18000.000000	8000.000000	Trill	7.719300	12.527072	NaN	NaN	50.336936	0.000000
37	Spectrogram 1	1	396.220000	396.650000	4000.000000	18000.000000	8000.000000	Trill	7.981190	15.125500	NaN	NaN	58.801221	0.000000
38	Spectrogram 1	1	402.150000	402.490000	4000.000000	18000.000000	8000.000000	Trill	9.565133	16.061386	NaN	NaN	69.580956	0.000000
39	Spectrogram 1	1	404.910000	405.030000	4000.000000	18000.000000	8000.000000	Trill	8.297472	14.129073	NaN	NaN	55.410923	0.000000
40	Spectrogram 1	1	431.270000	431.880000	4000.000000	18000.000000	8000.000000	Trill	11.930190	20.177339	NaN	NaN	94.355029	0.000000
41	Spectrogram 1	1	480.290000	480.560000	4000.000000	18000.000000	8000.000000	Trill	8.885530	13.482125	NaN	NaN	59.075355	0.000000
42	Spectrogram 1	1	502.820000	503.140000	4000.000000	18000.000000	8000.000000	Trill	8.371021	14.390853	NaN	NaN	46.155087	0.000000
43	Spectrogram 1	1	507.340000	507.530000	4000.000000	18000.000000	8000.000000	Trill	7.148402	13.106086	NaN	NaN	41.248115	0.000000
44	Spectrogram 1	1	516.890000	517.240000	4000.000000	18000.000000	8000.000000	Trill	8.870740	12.661661	NaN	NaN	52.383342	0.000000
45	Spectrogram 1	1	517.610000	517.850000	4000.000000	18000.000000	8000.000000	Trill	7.315092	10.999884	NaN	NaN	56.455838	0.000000
46	Spectrogram 1	1	531.460000	531.530000	4000.000000	18000.000000	8000.000000	Trillphee	9.012503	15.415158	NaN	NaN	77.208922	0.000000
47	Spectrogram 1	1	532.720000	532.850000	4000.000000	18000.000000	8000.000000	Trill	9.639955	15.397527	NaN	NaN	75.965915	0.000000
48	Spectrogram 1	1	533.390000	533.640000	4000.000000	18000.000000	8000.000000	Sd-peep	7.549520	11.208045	NaN	NaN	40.744409	0.000000
49	Spectrogram 1	1	664.990000	665.340000	4000.000000	18000.000000	8000.000000	Trill	8.804708	16.279589	NaN	NaN	62.079547	0.000000
50	Spectrogram 1	1	682.130000	682.250000	4000.000000	18000.000000	8000.000000	Twitter	10.028323	19.643099	NaN	NaN	73.846840	0.000000
51	Spectrogram 1	1	733.110000	733.430000	4000.000000	18000.000000	8000.000000	Trill	9.090552	13.713050	NaN	NaN	52.045145	0.000000
52	Spectrogram 1	1	894.870000	895.020000	4000.000000	18000.000000	8000.000000	P-peep	10.335542	15.817661	NaN	NaN	86.074412	0.000000
53	Spectrogram 1	1	918.040000	918.730000	4000.000000	18000.000000	8000.000000	Trillphee	7.165027	17.996213	NaN	NaN	77.750921	0.000000
54	Spectrogram 1	1	918.800000	918.860000	4000.000000	18000.000000	8000.000000	P-peep	7.100904	15.599990	NaN	NaN	74.996961	0.000000
55	Spectrogram 1	1	979.810000	980.410000	4000.000000	18000.000000	8000.000000	Trillphee	8.316018	17.728280	NaN	NaN	81.981185	0.000000
56	Spectrogram 1	1	1053.230000	1053.300000	4000.000000	18000.000000	8000.000000	Trill	9.611302	14.934439	NaN	NaN	72.821516	0.000000
57	Spectrogram 1	1	1056.570000	1057.510000	4000.000000	18000.000000	8000.000000	Trillphee	9.698145	22.247375	NaN	NaN	93.689044	0.000000
58	Spectrogram 1	1	1319.250000	1319.290000	4000.000000	18000.000000	8000.000000	Tse	8.489628	15.162348	NaN	NaN	62.229070	0.000000
